AccountNo,Client_num,BankID,AccountType,Balance,Open_date,Close_date,Overdraft_limit
495306,51769777,14589305,Savings,86639.52,2019-09-03,,614.92
720827,51458392,20265646,Savings,49898.98,2022-06-22,,410.14
160851,97653693,11569464,Savings,2772.55,2024-04-18,,212.84
746881,40461983,37753542,Savings,37112.5,2021-03-30,,100.95
973699,79858774,65785496,Loan,38746.41,2019-05-05,,440.94
484617,39520705,21813819,Credit Card,73631.42,2020-12-06,,179.1
637887,45880610,17178471,Loan,82481.47,2021-09-23,,667.1
400417,90180679,92114008,Checking,83829.53,2019-12-05,,946.01
350517,17702401,16698795,Checking,11119.53,2020-07-26,,575.77
665681,79441143,69598209,Credit Card,25703.39,2022-11-26,,960.64
70173,89179856,14589305,Checking,31399.64,2019-05-22,,691.57
413287,12403958,92707769,Savings,6389.49,2023-03-23,,576.98
195739,51689777,59181519,Checking,51895.02,2021-12-14,,120.83
403999,80272158,59181519,Savings,56403.36,2023-12-21,2024-01-23,288.69
618535,37631295,41087230,Savings,75121.95,2019-11-17,,298.27
613740,75804407,12322955,Credit Card,82175.71,2021-04-08,2023-11-09,658.9
316678,51362357,13871080,Loan,34674.79,2020-04-13,2021-01-15,700.52
734848,20815774,32264006,Checking,45976.39,2021-07-17,,279.06
299005,60305817,81972872,Loan,96390.1,2022-03-30,,4.63
977023,85296412,12907760,Savings,37042.17,2022-09-05,2023-01-30,271.36
111145,75466571,11569464,Savings,50935.67,2021-07-29,,545.1
347822,96566505,64452737,Credit Card,2227.62,2022-10-15,,153.8
214098,49144400,22135191,Checking,70367.06,2019-09-04,,563.13
477120,70697343,80287087,Savings,50962.12,2021-08-13,2022-11-20,111.34
138490,65599674,55798973,Credit Card,46452.97,2020-03-04,2021-03-25,519.79
582421,32640211,74290792,Savings,74233.4,2023-04-20,2023-12-04,175.01
860201,59318636,39697743,Credit Card,99893.46,2021-12-23,,0.98
701343,53693443,11569464,Credit Card,59147.85,2022-01-29,2024-01-25,829.39
696518,56763211,22632821,Savings,61004.85,2020-08-14,,924.19
725280,99757492,37753542,Loan,1938.72,2024-04-12,,190.93
477705,80838324,90079264,Checking,59858.2,2024-02-28,2024-03-11,389.57
180221,63821066,12409716,Credit Card,72650.83,2019-06-16,2019-07-21,655.7
8903,30226064,12322955,Loan,39569.18,2020-05-16,,446.48
37479,53559696,74290792,Savings,57742.34,2021-06-08,,673.36
323158,74238631,12409716,Loan,98310.97,2020-05-14,,497.63
688197,65691525,12907760,Credit Card,58098.25,2023-04-08,,198.4
464473,77831809,72565719,Savings,99742.84,2021-11-10,,999.2
379755,75683766,21077921,Loan,19638.08,2021-05-31,,897.12
102710,57531225,29369239,Credit Card,73378.25,2020-05-03,,636.72
101407,55350673,60581823,Checking,20255.28,2022-10-23,,76.6
158590,11751075,86893602,Savings,15734.8,2021-04-25,2023-11-18,896.09
554677,13883250,81352293,Checking,13721.71,2023-05-20,,351.79
752815,93294949,37753542,Savings,10540.29,2023-03-25,,397.72
163935,67203927,72565719,Credit Card,25007.2,2019-05-22,,674.5
24730,69905642,87451692,Savings,47149.03,2021-01-23,,100.76
330608,29973398,16698795,Checking,35805.75,2024-02-17,,748.04
892346,10852706,76033207,Checking,37293.74,2023-06-01,2024-04-16,817.74
888365,21448230,32264006,Credit Card,92870.44,2020-04-04,,260.74
662754,75165858,97544214,Savings,34631.49,2021-05-28,2024-03-10,189.23
381355,49579422,72565719,Loan,10728.69,2024-03-20,2024-04-08,60.28
692045,56272026,60581823,Credit Card,29505.35,2020-10-02,2023-01-17,289.84
511722,10953132,50736126,Loan,11082.86,2021-06-30,2023-10-19,868.4
498626,54179758,11569464,Credit Card,42775.28,2021-08-21,2023-01-03,298.0
177549,36624783,64452737,Credit Card,28589.94,2023-01-18,2023-08-14,890.62
846781,91703593,22632821,Loan,82912.38,2021-08-21,,363.81
629930,55046013,69598209,Checking,55559.27,2020-06-11,2020-10-04,245.09
805716,80491185,11569464,Checking,53389.39,2022-03-11,,90.65
147238,74098390,80257887,Checking,62742.02,2022-03-18,,568.31
33040,98066820,67777959,Savings,89957.05,2020-02-25,,501.14
475336,86094912,76461901,Savings,49654.92,2022-06-18,,303.9
542463,17314346,76033207,Loan,89218.35,2021-02-19,,725.18
736857,59688293,19918798,Checking,86266.46,2024-01-19,,419.06
209756,55262701,60581823,Credit Card,76139.74,2020-04-17,,462.51
