SupportTicketID,Client_num,IssueType,Status,SupportTicket_date,Assigned_to
162029,83204710,Billing,Closed,2023-05-19 09:20:32.811238,Kerry Manning
894605,56751257,Billing,Open,2024-04-27 01:59:03.520623,Thomas Mccullough
884311,16975924,Billing,Closed,2023-07-24 15:45:41.670565,Joshua Phillips
572398,58071172,Billing,Open,2023-10-30 14:08:45.787265,Eric Rodriguez
424499,43832842,Technical,In Progress,2023-11-12 12:52:28.706096,Kathryn Jordan
935768,41392926,General,Open,2023-07-26 17:29:51.857944,Christie Burns
829445,59031666,Technical,In Progress,2023-08-02 05:46:00.182055,Elizabeth Pennington
50831,73510159,Billing,In Progress,2024-02-14 21:30:37.907536,Margaret Smith
774517,19896307,General,Open,2023-07-27 04:57:49.899256,Beverly Butler
792742,79949146,General,Open,2023-09-10 11:23:35.784875,Taylor Mendoza
650175,23714662,Billing,Open,2024-02-09 03:18:52.331707,Heidi Lee
547713,73768538,Technical,Open,2023-07-16 07:58:54.708158,Omar Robinson
443585,92730507,Technical,Closed,2023-12-24 10:58:52.582397,Amy Ochoa
568571,30568421,Billing,In Progress,2024-02-18 01:19:27.197553,Tyler Ramirez
17607,81229991,Billing,In Progress,2023-12-24 10:51:35.106161,Stacey Contreras
761837,45853234,Billing,In Progress,2024-03-03 06:27:11.276462,Veronica Williams
451526,65926988,General,Closed,2024-01-06 06:11:37.398330,William Mason
961733,17199105,Billing,Closed,2023-06-17 06:16:12.351365,Joseph Pitts
811427,18280939,General,In Progress,2023-07-19 09:20:30.966609,Eric Jones
889130,10374199,Billing,Closed,2023-11-01 10:57:37.994593,Angela Thompson
792363,77871428,Billing,Closed,2023-08-20 02:27:12.545011,Lisa Myers
907327,89674783,Technical,Closed,2024-03-05 14:34:03.588466,Matthew King
104445,55348725,Billing,Open,2024-02-06 04:46:09.042470,Charles Mack
74640,16446422,General,Closed,2023-06-07 21:05:18.765451,Nancy Velazquez
723412,98069026,Technical,Closed,2023-06-09 20:34:26.131675,James Waller
469507,87540822,General,Open,2023-06-18 18:23:37.909782,Danielle Scott
669249,43178759,Billing,Closed,2023-10-19 21:05:23.537919,Beth Peck
372067,10814171,Technical,Closed,2023-12-01 02:51:00.563516,Jeremy Shaffer
624134,88683110,General,Closed,2023-09-11 19:50:05.281112,Janice Parker
465527,57336726,Technical,In Progress,2024-04-14 10:23:38.585516,Matthew Hall
520,11936505,Technical,Closed,2023-12-11 15:34:32.871816,Danielle Baker
403653,15595600,Billing,In Progress,2024-01-21 01:06:57.987843,Victor Mckinney
18978,42883248,Technical,Closed,2023-06-13 05:11:24.391552,Andre Todd
112162,21459331,Billing,Closed,2024-03-30 08:21:16.607577,Michelle Sullivan
562571,44453626,Billing,In Progress,2023-10-05 03:48:45.017489,Andrew Patton
518204,34800141,Technical,Closed,2023-08-09 21:07:48.780356,Carolyn George
729236,23852193,General,In Progress,2023-08-25 18:24:55.694419,Kelly Romero DDS
268935,31858721,General,Closed,2023-11-30 19:32:39.297191,Ashley Sullivan MD
834225,86016649,Technical,In Progress,2024-01-31 20:52:35.643016,Jacqueline Morales
847131,43613051,General,In Progress,2023-05-07 07:52:59.149102,Steven Allen
342821,76896859,General,Closed,2023-05-11 02:25:33.096537,Jennifer White
214710,54438100,Billing,Open,2023-09-01 14:17:34.227733,Erica Coleman
839504,43294641,Billing,Open,2023-06-24 02:25:16.782531,Willie Hickman
243385,38872755,General,Open,2023-05-24 14:53:38.142594,Jerome Moore
589470,20453596,Billing,Open,2023-09-07 10:33:19.344491,Angela Holt
268410,32089436,General,Open,2023-10-15 09:54:08.955984,Shirley Davidson
603432,96073563,General,Closed,2024-01-21 09:09:57.430051,Megan Ferrell
724090,56908672,General,Closed,2023-11-02 07:12:30.545498,John Gutierrez
726497,24803934,General,Closed,2024-04-14 08:00:17.312682,Kimberly Johnson
73320,65927415,General,Closed,2023-05-13 22:31:50.825037,Jessica Delgado
670561,75604765,General,Closed,2023-08-01 08:40:51.036513,Elizabeth Collins
383316,84528409,Billing,Open,2023-09-05 20:35:38.892832,Ryan Quinn
791387,22940057,Billing,In Progress,2024-03-27 17:48:10.850661,Jennifer Williams
108791,32812226,Technical,Closed,2024-02-19 02:30:36.572835,Veronica Flores
342398,64221981,Technical,Closed,2024-01-16 15:42:34.435712,Misty Lopez
487249,16353862,Billing,Closed,2023-07-05 08:03:01.055452,Albert Miller
257465,75335105,General,Closed,2023-11-02 01:21:54.506704,Natalie Cook
367970,54894194,Technical,In Progress,2023-09-18 02:23:01.154905,Melissa Rodriguez
418706,48947480,Billing,In Progress,2024-01-05 20:50:37.721581,Thomas Mccoy
206157,68775916,Billing,In Progress,2023-09-28 06:46:33.967246,Jessica King
170523,84492189,Technical,Open,2024-01-04 07:31:13.396846,Leslie Rosales
470885,58605007,Billing,Open,2024-04-24 19:44:09.277636,Stephanie Barnes
248902,11032716,Billing,Open,2024-04-12 09:33:12.509893,Monica Pierce
141980,40461983,General,In Progress,2023-12-26 02:15:51.997436,Michael Miller
901828,86062779,General,Closed,2023-10-08 06:15:03.213339,Jonathan Dodson
746350,75673021,Technical,Open,2023-08-06 14:07:10.486150,Hannah Casey
871266,46078005,Billing,In Progress,2023-05-19 11:53:01.496029,Daniel Shaw
644,84265985,Billing,Open,2023-07-12 12:03:23.149580,Brittany Stephens
