RewardID,CardNumber,Reward_points_balance,Reward_points_consumed,ExpiryDate
61990,3334379781,4160,1729,2024-06-18 05:09:03.792100
38293,3331057539,7976,6862,2024-05-11 11:58:59.811936
85080,7117889416,5009,4074,2024-12-26 21:41:46.730124
91656,3045782485,8121,3529,2024-06-08 16:28:43.800097
14474,3890055930,5666,4053,2025-04-08 08:00:36.480010
13760,2593332416,7856,949,2025-03-06 10:53:38.317634
29698,3853073285,2592,837,2024-11-03 23:17:16.124687
64551,3432691190,6075,3913,2025-03-29 23:31:14.293142
70111,5602492124,1753,593,2024-12-11 13:51:50.898672
67006,5479424184,9017,5765,2025-04-05 08:23:37.847833
80059,4031230401,9917,7825,2025-02-01 18:17:35.885751
22118,6097303134,8436,7330,2024-10-22 10:34:43.818607
47894,6066967540,6266,190,2024-07-10 01:44:49.101892
73315,8368706607,2279,306,2024-08-25 19:08:01.313283
30121,5895734136,294,81,2024-05-11 20:04:08.418509
43891,4942004690,6412,6129,2024-05-14 03:11:42.163750
91042,8656661622,7970,499,2025-01-17 02:58:34.247084
37549,6721674678,526,11,2024-05-15 07:38:24.064876
28005,5660669332,7379,2986,2024-10-07 20:38:07.951894
39075,6499114926,2928,1622,2025-02-18 10:56:35.978566
62345,1035451815,5292,1474,2024-11-29 03:10:17.798022
91931,5708630507,4914,3020,2024-11-28 06:24:03.670671
61723,5934493724,6981,5958,2024-12-19 03:41:47.101724
16071,2323612322,6483,832,2025-04-06 00:37:37.241349
11831,7123474468,5328,3172,2024-12-18 22:45:42.620125
71805,4732582411,4614,827,2025-01-27 03:41:19.789077
66984,1621679358,7760,6397,2024-08-07 07:49:57.359130
74160,6684148444,495,0,2024-12-05 16:42:25.777919
19930,2868860713,3513,574,2025-02-26 19:38:57.373809
5768,1153689011,7536,117,2024-07-24 11:19:59.209430
52625,3806738795,9252,3709,2024-12-24 12:26:27.163397
31861,9552598800,8745,4156,2025-01-18 16:20:25.536095
56740,1405867516,251,51,2024-12-07 02:24:56.934360
51144,5277452022,1292,14,2024-05-29 13:14:21.588561
41945,7241808720,3205,1714,2024-11-02 23:54:43.754230
22618,7605910694,4665,3686,2025-01-12 22:09:31.194177
56231,1401827615,9846,1579,2024-08-18 03:36:41.147593
91682,7566486255,8978,5478,2024-05-24 13:41:48.716128
24294,2737247030,8481,5184,2024-10-04 14:06:48.577046
72961,2623966114,7491,3818,2024-07-11 11:49:44.253979
86156,8618179772,8424,6550,2024-06-23 13:15:51.693172
50256,3962298573,2214,91,2025-04-10 15:51:05.739491
50505,5873908530,2248,1618,2025-03-05 15:30:25.284206
33624,4964198370,1626,307,2024-06-25 12:31:44.692971
72959,6691225439,8488,4266,2024-08-12 18:04:30.512378
67381,9453515517,3218,2953,2025-04-11 03:45:19.629399
44479,9916497156,9622,8930,2025-01-25 20:52:26.090134
39947,1785473382,8037,4034,2025-03-05 01:57:39.872497
41573,5951237807,7758,6979,2025-02-16 06:09:02.469805
93684,6801204230,8557,8553,2024-07-15 08:28:10.487573
93758,7401805207,448,299,2024-08-02 00:23:37.279424
57568,2859374078,2830,2635,2024-08-02 22:18:35.172232
73989,4537493039,7950,487,2024-12-31 08:04:32.924498
65649,6475556910,4829,1925,2024-09-11 04:38:03.321286
46617,5934861753,6141,2891,2025-04-01 20:28:02.997376
40975,3319395367,6069,3791,2024-08-13 11:05:55.118669
74701,6172621258,4221,4186,2024-10-03 00:45:36.944693
55188,3227055570,9119,6273,2024-05-04 19:55:42.867228
78251,8545988236,1789,1374,2024-11-01 21:23:10.965208
29832,7675622693,6357,2864,2024-04-29 19:59:29.533901
25780,9351097866,489,308,2024-05-20 10:02:29.207620
47380,3675935175,3594,1039,2024-09-01 01:02:53.689283
19954,8023428165,8672,2880,2025-01-22 06:56:59.434673
99415,6518831322,4951,1399,2024-08-15 16:12:01.372813
93019,1360800806,3995,3064,2024-08-18 10:56:54.558866
32752,1724407920,2553,1841,2025-01-03 01:10:02.832229
61064,1164662676,6630,6089,2025-01-17 11:49:44.962001
34698,9937641713,3925,3778,2024-11-01 04:51:06.981384
79159,2542572117,8429,547,2025-03-30 09:57:56.199424
35390,9111620850,6910,6223,2025-01-07 06:02:09.457769
80519,4765809096,8659,4580,2024-06-14 07:22:28.810956
60914,3523164662,1994,481,2025-04-10 10:34:57.020935
58187,6880121609,6935,5136,2024-09-14 12:44:44.219834
89784,2212205078,7298,6628,2024-10-03 20:23:52.304609
11309,5272775029,5261,2953,2024-06-12 06:46:30.645095
45614,1197877416,4058,3210,2024-06-19 20:54:10.552549
8864,1352439652,1019,243,2024-06-06 15:13:19.027704
85096,3748967234,4776,3173,2024-08-30 20:52:56.468492
97935,4141660001,969,770,2024-07-04 08:19:27.815756
73100,4897845546,1083,628,2024-09-07 00:47:20.213483
91884,3532773645,9178,4264,2024-12-12 00:00:59.665492
41739,3141882911,3989,2631,2024-05-17 21:25:14.337827
5164,6408446383,2240,1612,2024-12-11 13:11:23.451360
58175,9134159464,3987,1537,2024-07-27 01:40:44.205039
2486,2929397812,385,69,2025-01-19 16:56:44.734131
87942,2803947578,821,13,2024-10-09 14:05:13.947366
93369,4305256325,248,223,2024-12-05 10:00:06.733179
8747,7268880020,1627,380,2024-10-03 02:01:26.967105
53038,5161778991,5202,4993,2025-04-25 22:56:44.460417
85370,5563998102,2228,334,2024-11-20 22:52:05.310021
15024,5660229467,9737,4165,2025-04-26 16:36:17.379930
22955,7544696544,2977,61,2024-05-09 05:52:49.066250
94040,2732262894,5103,2125,2024-06-23 11:05:05.875639
27223,5398898205,3166,1214,2025-01-13 07:55:14.792876
34970,7902588103,7439,3930,2024-06-01 01:30:22.961511
54573,5862320135,38,31,2024-09-03 11:29:09.385602
21242,6972672739,1015,140,2024-07-03 10:10:19.142833
84326,9481801230,5497,5293,2024-11-03 04:52:18.590769
55080,4442109331,7501,7371,2024-12-03 12:03:43.032801
81718,8486611719,4200,892,2024-12-01 13:53:22.628839
69815,4719417953,7799,3980,2024-11-09 04:09:20.426305
22818,2183961950,1441,823,2024-06-06 02:42:17.375132
59773,6923524950,4190,2452,2024-11-19 04:58:18.962400
23920,9385545047,6864,5719,2024-09-10 11:52:42.972980
56917,8977729198,2169,986,2024-05-09 03:08:52.653308
11159,4067852080,2332,1516,2024-11-29 23:00:58.510306
32461,9569893147,3779,2719,2024-08-31 10:30:47.702616
27885,8406911117,9511,3928,2024-06-15 23:59:26.997416
26462,5842907178,1616,456,2025-02-01 19:06:53.106400
39943,2321852282,9979,8104,2024-07-24 17:54:26.461964
10612,1397472202,6601,5283,2024-08-26 12:00:20.654725
56252,1379660867,4522,1387,2025-01-31 16:16:27.385963
87055,1904921849,6349,426,2025-01-10 06:20:24.889066
66743,9290729314,9180,8075,2025-03-21 11:32:41.637110
34100,3199896741,3158,1944,2024-12-15 12:49:05.623419
30036,3311470658,7087,6768,2024-11-24 04:24:18.506248
7324,7001739455,4180,140,2024-10-22 18:04:29.908359
13737,6897711344,4605,1723,2024-07-29 19:56:45.410454
44127,3156535281,1356,315,2024-06-10 23:23:04.382218
33915,5511119259,4971,4534,2024-07-26 19:31:31.432840
65951,6736902140,9902,6015,2024-09-27 06:25:32.588609
21123,4160918004,4824,3666,2024-06-25 09:26:20.886653
36970,3324485037,5079,4607,2024-10-20 21:40:33.492311
30205,1239918400,5425,1582,2024-09-04 03:07:36.748781
31434,4775547670,3764,3327,2024-10-27 09:46:54.784233
91466,1141068778,8059,902,2025-02-06 16:37:44.031078
11836,5898780239,5806,609,2024-05-10 06:30:13.761240
61900,2203000926,2753,2694,2025-02-12 16:47:55.993035
31727,9343543277,9471,1079,2024-06-01 18:31:04.223647
48846,2832936408,3184,3163,2024-12-21 09:14:04.787344
3117,8245625841,7312,88,2025-02-19 13:51:36.493761
79884,8164928746,6886,3487,2024-12-08 13:59:26.733442
8688,4688446358,2310,1401,2025-04-24 04:38:46.886791
92400,9765106723,4174,1816,2025-01-05 10:24:02.357204
3450,5708161268,9924,232,2024-08-15 18:32:01.944288
19392,1358266010,4128,3750,2025-02-02 19:48:51.293056
9174,4314236459,6876,2109,2024-09-22 02:55:41.747754
2362,2690513313,9612,7632,2024-09-20 11:44:37.972393
15977,5077667967,6267,3548,2025-01-25 22:21:56.201330
12415,7404801643,1942,246,2024-09-14 05:30:37.936050
38659,2590244420,751,665,2024-11-25 04:33:29.535900
38118,4132974490,5101,1121,2024-08-25 03:29:01.020738
89531,4078014177,7599,2040,2024-06-22 07:30:37.906701
85906,8416130827,8617,7187,2025-03-06 05:32:55.279306
46418,3756918136,9525,5178,2024-12-14 14:02:31.024672
25915,3682355270,4011,1700,2024-09-07 10:03:20.885788
21416,1064389599,9473,2739,2024-09-29 01:49:54.319472
43043,9239705060,5175,4555,2024-07-21 17:44:55.359198
8280,4375985983,6634,4732,2025-01-24 11:13:37.993995
25623,9822014039,5666,2117,2024-07-27 10:44:35.614997
78507,5983831694,1594,228,2024-07-31 09:58:21.406135
98003,6905744977,1686,705,2025-02-13 12:43:37.980142
13738,4791260111,7910,2369,2025-01-20 12:43:00.954014
70299,9584897613,9780,4627,2024-11-29 21:26:58.745955
98225,2037066608,4850,2493,2024-12-24 04:42:08.000294
76657,9054105158,9615,2993,2024-09-08 06:31:49.310849
83620,4583203239,2210,947,2024-06-07 09:28:58.884011
30967,6698680935,9536,9444,2024-06-08 11:19:35.289024
11070,7367756029,7703,2443,2024-06-23 03:18:16.184590
73519,9079614903,3917,3674,2024-11-18 01:52:15.606134
81017,5588799936,6037,4451,2024-10-22 09:09:30.653162
63367,4290906406,6798,6353,2024-07-04 21:31:19.693064
44517,9613467677,258,59,2024-11-25 05:49:57.187134
50887,8577162068,6636,4832,2024-12-11 03:06:15.591743
5054,1555159732,2255,1800,2025-01-15 23:39:51.227144
33653,9112614488,3880,373,2025-02-05 03:44:55.557278
88165,2725257567,6858,759,2025-01-09 21:25:43.535421
7242,7131947215,8460,5560,2025-04-24 19:33:51.234002
73275,7782559315,9512,6371,2025-02-23 19:08:37.689446
91592,8627182755,5691,1435,2024-07-21 01:39:25.302477
51712,3201840511,7422,2497,2025-01-02 15:25:13.079134
