TransactionID,CardNumber,MerchantID,Transaction_amt,Transaction_time
83879451,5537933469,8543,2086.51,2023-11-16 05:39:49.353727
69289072,7426035767,4916,97.64,2023-05-20 14:39:21.805657
74867952,1625508018,3538,2734.16,2023-08-03 06:30:31.573643
26737951,6379118369,3071,1912.32,2023-07-07 23:28:18.102067
53423105,5965611687,6533,1316.67,2023-11-16 01:52:58.877241
60059299,2173569524,1712,2083.97,2024-02-27 23:50:11.887579
39148455,8684228919,7611,1827.1,2023-12-12 00:16:35.701057
88550044,1360800806,8599,759.11,2023-10-20 15:15:21.074792
97896598,5370733093,5616,2262.65,2023-05-25 21:49:16.041733
82217769,6407548612,3602,468.82,2023-10-05 08:03:23.917907
11157518,9815557892,9839,1817.57,2023-07-10 15:24:15.594715
60989472,2699115858,6784,2821.97,2024-03-15 18:19:22.973576
34923886,6503925828,6691,1898.99,2023-06-18 04:45:53.861676
75631248,4027312776,4916,346.75,2023-06-02 10:14:53.964208
84025695,9276529482,1830,1235.7,2023-08-08 09:23:31.792869
70426528,4652729688,7168,891.62,2023-10-21 22:08:36.788447
96391445,2459802978,5226,2844.85,2023-09-28 09:08:28.756848
88554708,7384763519,8512,933.09,2023-10-01 14:04:11.269007
25217818,1292129626,6866,259.14,2023-10-05 17:18:58.281205
34039636,2473646313,7108,2952.31,2023-11-18 15:42:16.052764
80787597,7928811415,4916,394.12,2024-01-26 01:21:42.475180
48829830,4026805865,5616,690.54,2023-07-25 14:31:20.029503
41467695,4339113085,5295,2109.77,2023-06-20 18:24:00.467525
92683739,1122781576,2763,1403.01,2023-07-30 00:45:05.175367
60219586,7401805207,6331,162.74,2024-03-30 06:55:04.498974
16800117,1416837013,5190,2914.69,2023-11-26 09:16:31.312340
494619,7154751553,8543,1246.93,2023-05-26 12:47:46.453782
52425331,2430307062,9055,1305.75,2023-12-10 17:01:49.705465
25973985,4839775731,7672,2765.45,2024-02-25 07:22:50.217230
79357641,5028925693,5857,1772.5,2024-04-12 04:55:49.748356
9581620,9488365021,8086,15.83,2023-09-26 03:19:34.427459
43638668,6177368966,5315,2177.47,2024-03-06 02:39:23.903822
84829919,7416389645,8565,1432.09,2023-10-20 12:08:59.980666
91251482,4436901016,1996,2362.99,2023-07-27 16:23:48.743224
56055461,9335967335,7233,1335.77,2023-12-24 04:53:56.954514
75917729,5001901323,3113,1314.39,2023-07-07 14:53:31.493945
3639540,9588682043,1712,1933.62,2023-12-28 07:42:43.602094
57887424,3756918136,2548,1272.46,2023-08-27 19:42:06.749214
96634851,4227220007,5245,2262.59,2023-09-03 22:02:56.370789
96140927,9233017856,9544,538.91,2024-04-13 05:42:21.279647
42148235,4967815741,7466,728.44,2023-11-11 15:43:25.355478
3361183,6091574595,5748,1702.44,2023-07-25 16:40:41.108747
75515335,1724307708,5162,1773.15,2023-08-03 15:47:36.654036
5277200,6730193146,7168,1503.03,2024-04-25 23:41:55.408265
94266336,3456275057,4246,1999.45,2023-05-14 23:15:25.250809
77819881,8387139718,5315,2648.66,2023-11-10 23:51:21.551147
