Client_num,Customer_name,Customer_age,Gender,Dependent_count,Education_level,Marital_status,Income_category,Email,Contact_number,Random_Credit_Score
46868758,Jeffrey Watkins,45,Female,1,Bachelor's,Single,High,waynewilliams@example.org,(722) 533-1286,
92092867,Carl Perez,49,Male,2,Master's,Single,Medium,nguyendouglas@example.org,(095) 983-8984,681.6141206396953
28229497,Lauren Rodriguez,29,Male,4,High School,Married,Medium,justin38@example.org,(804) 855-1713,706.3797978563446
65687877,Elizabeth Hood,39,Male,1,High School,Married,Low,donald87@example.org,(967) 629-8571,817.5411487935804
38234058,Teresa Nelson,20,Male,2,Master's,Married,Medium,timothy41@example.net,(522) 250-0170,681.6141206396953
71236242,Edward Thompson,42,Female,0,Doctorate,Single,High,monicagray@example.com,(261) 553-1539,817.5411487935804
81455944,Christopher Obrien,38,Male,2,High School,Single,Medium,davidlevy@example.org,(913) 637-2240,817.5411487935804
81455944,Christopher Obrien,38,Male,2,High School,Single,Medium,davidlevy@example.org,(913) 637-2240,817.5411487935804
81455944,Christopher Obrien,38,Male,2,High School,Single,Medium,davidlevy@example.org,(913) 637-2240,817.5411487935804
30506633,Allison Baker,22,Female,0,Master's,Single,Medium,ucook@example.net,(538) 875-2092,
41032735,Carolyn Knight,57,Male,1,High School,Married,High,sherrymcintosh@example.org,(719) 412-8311,817.5411487935804
38100445,Tammy Brock,49,Male,2,Doctorate,Single,Medium,zachary99@example.net,(595) 539-1587,817.5411487935804
95594488,David Huynh,20,Female,0,Bachelor's,Single,Low,browndavid@example.net,(635) 497-0038,681.6141206396953
19858923,Dr. Patricia Moran DDS,66,Female,0,Doctorate,Single,High,danielryan@example.com,(116) 617-9583,706.3797978563446
19858923,Dr. Patricia Moran DDS,66,Female,0,Doctorate,Single,High,danielryan@example.com,(116) 617-9583,706.3797978563446
19858923,Dr. Patricia Moran DDS,66,Female,0,Doctorate,Single,High,danielryan@example.com,(116) 617-9583,706.3797978563446
19858923,Dr. Patricia Moran DDS,66,Female,0,Doctorate,Single,High,danielryan@example.com,(116) 617-9583,706.3797978563446
56374136,Mrs. Jennifer Brown MD,50,Female,2,Master's,Single,Medium,kramirez@example.net,(723) 259-5909,706.3797978563446
56374136,Mrs. Jennifer Brown MD,50,Female,2,Master's,Single,Medium,kramirez@example.net,(723) 259-5909,706.3797978563446
79774901,David Ramirez,51,Female,4,Bachelor's,Married,High,fharper@example.org,(446) 052-7935,706.3797978563446
79045874,Brent Evans,55,Male,2,High School,Married,High,iwebb@example.com,(152) 990-1399,
99101407,Elizabeth Huerta,27,Female,2,Bachelor's,Single,High,psteele@example.net,(139) 808-5057,706.3797978563446
90565070,Charles Frazier,69,Female,1,Bachelor's,Married,High,michaelmartinez@example.com,(501) 536-0500,817.5411487935804
90565070,Charles Frazier,69,Female,1,Bachelor's,Married,High,michaelmartinez@example.com,(501) 536-0500,817.5411487935804
90565070,Charles Frazier,69,Female,1,Bachelor's,Married,High,michaelmartinez@example.com,(501) 536-0500,817.5411487935804
57442065,Joseph Juarez,43,Male,2,Master's,Single,Medium,ohernandez@example.net,(819) 581-5845,
31414125,Kristen Acosta,20,Male,4,Bachelor's,Married,High,dylansaunders@example.org,(597) 991-8483,817.5411487935804
31414125,Kristen Acosta,20,Male,4,Bachelor's,Married,High,dylansaunders@example.org,(597) 991-8483,817.5411487935804
31414125,Kristen Acosta,20,Male,4,Bachelor's,Married,High,dylansaunders@example.org,(597) 991-8483,817.5411487935804
31414125,Kristen Acosta,20,Male,4,Bachelor's,Married,High,dylansaunders@example.org,(597) 991-8483,817.5411487935804
31414125,Kristen Acosta,20,Male,4,Bachelor's,Married,High,dylansaunders@example.org,(597) 991-8483,817.5411487935804
13687670,Christina Lynn,69,Female,2,Doctorate,Single,High,rodney65@example.org,(959) 224-4945,817.5411487935804
13687670,Christina Lynn,69,Female,2,Doctorate,Single,High,rodney65@example.org,(959) 224-4945,817.5411487935804
13687670,Christina Lynn,69,Female,2,Doctorate,Single,High,rodney65@example.org,(959) 224-4945,817.5411487935804
13687670,Christina Lynn,69,Female,2,Doctorate,Single,High,rodney65@example.org,(959) 224-4945,817.5411487935804
26738332,Tammy Harrington,51,Female,1,Master's,Single,Medium,kim89@example.org,(421) 043-0064,706.3797978563446
26738332,Tammy Harrington,51,Female,1,Master's,Single,Medium,kim89@example.org,(421) 043-0064,706.3797978563446
49724575,Kristin Torres,27,Male,1,High School,Married,Low,nashmary@example.com,(534) 243-0706,
53327323,Sarah Hernandez,60,Female,1,Bachelor's,Married,Low,ilin@example.org,(210) 205-5939,379.0821117525333
21459331,Bryan Diaz,67,Male,3,Master's,Married,Medium,zwilliams@example.com,(739) 054-7808,706.3797978563446
21459331,Bryan Diaz,67,Male,3,Master's,Married,Medium,zwilliams@example.com,(739) 054-7808,706.3797978563446
44881997,Dr. Andre Flowers,49,Male,1,Master's,Single,Medium,hannahdurham@example.org,(627) 884-2182,706.3797978563446
44881997,Dr. Andre Flowers,49,Male,1,Master's,Single,Medium,hannahdurham@example.org,(627) 884-2182,706.3797978563446
26509545,Jesse Morales,65,Male,2,High School,Single,High,itaylor@example.org,(158) 438-1472,817.5411487935804
